ticker,name,sector,exchange
MMM,3M,industrials,NYSE
AOS,A. O. Smith,industrials,NYSE
ABT,Abbott Laboratories,health_care,NYSE
ABBV,AbbVie,health_care,NYSE
ACN,Accenture,technology,NYSE
ADBE,Adobe Inc.,technology,NYSE
AMD,Advanced Micro Devices,technology,NYSE
AES,AES Corporation,utilities,NYSE
AFL,Aflac,financials,NYSE
A,Agilent Technologies,health_care,NYSE
APD,Air Products,materials,NYSE
ABNB,Airbnb,consumer_discretionary,NYSE
AKAM,Akamai Technologies,technology,NYSE
ALB,Albemarle Corporation,materials,NYSE
ARE,Alexandria Real Estate Equities,real_estate,NYSE
ALGN,Align Technology,health_care,NYSE
ALLE,Allegion,industrials,NYSE
LNT,Alliant Energy,utilities,NYSE
ALL,Allstate,financials,NYSE
GOOGL,Alphabet Inc. (Class A),communication_services,NYSE
GOOG,Alphabet Inc. (Class C),communication_services,NYSE
MO,Altria,consumer_staples,NYSE
AMZN,Amazon,consumer_discretionary,NYSE
AMCR,Amcor,materials,NYSE
AEE,Ameren,utilities,NYSE
AEP,American Electric Power,utilities,NYSE
AXP,American Express,financials,NYSE
AIG,American International Group,financials,NYSE
AMT,American Tower,real_estate,NYSE
AWK,American Water Works,utilities,NYSE
AMP,Ameriprise Financial,financials,NYSE
AME,Ametek,industrials,NYSE
AMGN,Amgen,health_care,NYSE
APH,Amphenol,technology,NYSE
ADI,Analog Devices,technology,NYSE
AON,Aon plc,financials,NYSE
APA,APA Corporation,energy,NYSE
APO,Apollo Global Management,financials,NYSE
AAPL,Apple Inc.,technology,NYSE
AMAT,Applied Materials,technology,NYSE
APP,AppLovin,technology,NYSE
APTV,Aptiv,consumer_discretionary,NYSE
ACGL,Arch Capital Group,financials,NYSE
ADM,Archer Daniels Midland,consumer_staples,NYSE
ARES,Ares Management,financials,NYSE
ANET,Arista Networks,technology,NYSE
AJG,Arthur J. Gallagher & Co.,financials,NYSE
AIZ,Assurant,financials,NYSE
T,AT&T,communication_services,NYSE
ATO,Atmos Energy,utilities,NYSE
ADSK,Autodesk,technology,NYSE
ADP,Automatic Data Processing,industrials,NYSE
AZO,AutoZone,consumer_discretionary,NYSE
AVB,AvalonBay Communities,real_estate,NYSE
AVY,Avery Dennison,materials,NYSE
AXON,Axon Enterprise,industrials,NYSE
BKR,Baker Hughes,energy,NYSE
BALL,Ball Corporation,materials,NYSE
BAC,Bank of America,financials,NYSE
BAX,Baxter International,health_care,NYSE
BDX,Becton Dickinson,health_care,NYSE
BRK-B,Berkshire Hathaway,financials,NYSE
BBY,Best Buy,consumer_discretionary,NYSE
TECH,Bio-Techne,health_care,NYSE
BIIB,Biogen,health_care,NYSE
BLK,BlackRock,financials,NYSE
BX,Blackstone Inc.,financials,NYSE
XYZ,Block  Inc.,financials,NYSE
BNY,BNY Mellon,financials,NYSE
BA,Boeing,industrials,NYSE
BKNG,Booking Holdings,consumer_discretionary,NYSE
BSX,Boston Scientific,health_care,NYSE
BMY,Bristol Myers Squibb,health_care,NYSE
AVGO,Broadcom,technology,NYSE
BR,Broadridge Financial Solutions,industrials,NYSE
BRO,Brown & Brown,financials,NYSE
BF-B,Brown–Forman,consumer_staples,NYSE
BLDR,Builders FirstSource,industrials,NYSE
BG,Bunge Global,consumer_staples,NYSE
BXP,BXP  Inc.,real_estate,NYSE
CHRW,C.H. Robinson,industrials,NYSE
CDNS,Cadence Design Systems,technology,NYSE
CPT,Camden Property Trust,real_estate,NYSE
COF,Capital One,financials,NYSE
CAH,Cardinal Health,health_care,NYSE
CCL,Carnival Corporation,consumer_discretionary,NYSE
CARR,Carrier Global,industrials,NYSE
CVNA,Carvana,consumer_discretionary,NYSE
CASY,Casey's,consumer_staples,NYSE
CAT,Caterpillar Inc.,industrials,NYSE
CBOE,Cboe Global Markets,financials,NYSE
CBRE,CBRE Group,real_estate,NYSE
CDW,CDW Corporation,technology,NYSE
COR,Cencora,health_care,NYSE
CNC,Centene Corporation,health_care,NYSE
CNP,CenterPoint Energy,utilities,NYSE
CF,CF Industries,materials,NYSE
CRL,Charles River Laboratories,health_care,NYSE
SCHW,Charles Schwab Corporation,financials,NYSE
CHTR,Charter Communications,communication_services,NYSE
CVX,Chevron Corporation,energy,NYSE
CMG,Chipotle Mexican Grill,consumer_discretionary,NYSE
CB,Chubb Limited,financials,NYSE
CHD,Church & Dwight,consumer_staples,NYSE
CIEN,Ciena,technology,NYSE
CI,Cigna,health_care,NYSE
CINF,Cincinnati Financial,financials,NYSE
CTAS,Cintas,industrials,NYSE
CSCO,Cisco,technology,NYSE
C,Citigroup,financials,NYSE
CFG,Citizens Financial Group,financials,NYSE
CLX,Clorox,consumer_staples,NYSE
CME,CME Group,financials,NYSE
CMS,CMS Energy,utilities,NYSE
KO,Coca-Cola Company (The),consumer_staples,NYSE
CTSH,Cognizant,technology,NYSE
COHR,Coherent Corp.,technology,NYSE
COIN,Coinbase,financials,NYSE
CL,Colgate-Palmolive,consumer_staples,NYSE
CMCSA,Comcast,communication_services,NYSE
FIX,Comfort Systems USA,industrials,NYSE
COP,ConocoPhillips,energy,NYSE
ED,Consolidated Edison,utilities,NYSE
STZ,Constellation Brands,consumer_staples,NYSE
CEG,Constellation Energy,utilities,NYSE
COO,Cooper Companies (The),health_care,NYSE
CPRT,Copart,industrials,NYSE
GLW,Corning Inc.,technology,NYSE
CPAY,Corpay,financials,NYSE
CTVA,Corteva,materials,NYSE
